,ID,age,customer_class,value,tot_spend,customer_value
0,28e58c5662177c2d2878e5d4226147e6,,30,MEDIUM,700.0,2
1,7cac3ea7130e6055869de91d46dcbd5b,41.0,39,HIGH,2257.3,3
2,e0f0511bf61bbfe6758118ab4e7d09c9,,30,MEDIUM,1552.6,2
3,8cb24192488bc7a1b03341669f0cc1d5,,46,VERY HIGH,5513.46,4
4,60f773f9b7c7402712ca2aa77bd3737b,38.0,46,HIGH,2782.27,3
5,25d8427d65304181aa8e5c2469d5358f,57.0,44,VERY HIGH,9426.57,4
6,7012adb38e9c527b245b60577b272f35,23.0,44,HIGH,3413.61,3
7,2200ba7d41c80b987954072119601b02,,44,LOW,0.0,1
8,211793730c7ddf8cf58189cd146d328a,,39,LOW,0.0,1
9,80cca3fffce25b4528295321f7ba839b,22.0,46,MEDIUM,713.11,2
10,8684b24b9f6fcedd47afa988cc66eccc,,44,MEDIUM,818.96,2
11,b9c492d1a38c4e16ba9ff5aa3d86ba6d,40.0,39,VERY HIGH,9772.444205,4
12,b9c492d1a38c4e16ba9ff5aa3d86ba6d,40.0,39,VERY HIGH,9772.444205,4
13,4ad196a2474dd9a456ddfc6e1163fbd8,40.0,46,VERY HIGH,7409.15,4
14,8bc7b1ed609c8bf09cb66ea1236cf72b,44.0,42,LOW,0.0,1
15,386238e058b75fe50b55256fbb91d0b6,31.0,49,MEDIUM,1116.6,2
16,5cd4601cf06bba1ee33b0c08a867a91a,,39,MEDIUM,1118.0,2
17,62d204eda364d95f95b91a16a2b06be5,,49,VERY HIGH,7019.4785,4
18,6466c4c27383a61e60686f1d7328e166,29.0,44,VERY HIGH,5532.06,4
19,c23aa2a6f72fe66f55531a370377a2b1,45.0,39,HIGH,3109.26,3
20,33e797f816abbeb8bf9d32b106803e7d,,39,LOW,126.419,1
21,d152aa92321d78d20300a49f7af504fd,,186,HIGH,4526.81,3
22,ffc0fed56da06b3a1c465aea784a98c0,53.0,44,VERY HIGH,10187.42,4
23,d1b798b5ad3ade76b2f6265097da7678,43.0,49,HIGH,3799.2,3
24,38d270143562e98f8176071c7e3e98c7,40.0,39,HIGH,1953.86,3
25,e7fb8df91c8b6ba5d5d9f502222c661d,37.0,39,HIGH,3225.185,3
26,f185ee78e7e29b4b6b0fb25176085b0a,,44,MEDIUM,895.04,2
27,c70427a59069bd48cc7e449469ebc8a1,,46,LOW,0.0,1
28,a67e072537fece6d9ad9f4f8e37adb17,21.0,49,LOW,367.0,1
29,c6e75c4a69811fdbfe43ce7f2b72716b,,46,LOW,0.0,1
30,648769b1f444577d869d23ba23f79427,23.0,46,MEDIUM,724.94,2
31,09a33f032640bfe6088bca21f9b8eba3,25.0,39,HIGH,3788.505,3
32,6b0ab3fca50aeae675ca9d8fb12af56a,43.0,39,VERY HIGH,7502.86,4
33,6178db89de8ff81ba18bfee219d10280,40.0,39,VERY HIGH,5768.655,4
34,c635588dde419d4f0d3362be1183412b,,48,MEDIUM,763.0,2
35,e866b4e8e27e7bdcb09c0a8ce369a043,,44,LOW,348.06,1
36,ca4f0485c6e6e42df0c618aca810598e,49.0,46,LOW,101.95,1
37,b7f9a0fe65c3d27b6727c2c1a8cfe1e7,42.0,49,VERY HIGH,7054.46,4
38,81a93160832121afe20d4a7b9f7c15b8,37.0,39,HIGH,2934.055,3
39,00baab01fda2be0ab59aabb87ff40c66,25.0,44,HIGH,4393.51,3
40,305ebc4f0b45b62e2d7dc90c966f92ab,31.0,185,HIGH,2448.7107170000004,3
41,fd9409d956a38fb2259f4a55f8d21de3,,33,HIGH,2621.75,3
42,a8d51edeca39afc72ae2705f83adfc73,,39,VERY HIGH,6412.245,4
43,4dad6685b5c14cc08d0a5da7fd17e2ec,39.0,46,MEDIUM,720.0,2
44,a7da6f13e4b3bca13e837ed83c30fd4b,,44,MEDIUM,1375.31,2
45,10d207d47a6e7846ba0a667fc92480b9,58.0,46,LOW,300.0,1
46,e05e43c51e1d1d16b56c8351f1e82081,,39,MEDIUM,1083.9,2
47,4ab217b0b3182db0a2174010c5389fbd,36.0,44,LOW,0.0,1
48,1ef6c8c60d8a0b1540853f732ddf3b89,24.0,44,HIGH,1948.87,3
49,6012d373a3a0700efa44ce2a5ac23b8e,39.0,186,VERY HIGH,7806.13,4
50,cf80f38777e3e958b2e6eba09ab80a1f,,44,MEDIUM,1393.07,2
51,ffaab7a71baca411688fc9940ea383cf,30.0,39,HIGH,3094.78,3
52,6ee1940d05dd6bfbeb99d395feb04ebc,38.0,39,HIGH,3760.62,3
53,6ee1940d05dd6bfbeb99d395feb04ebc,38.0,39,HIGH,3760.62,3
54,40e2b83aef44aba4c211ffd7fe1443b6,40.0,39,HIGH,1955.2,3
55,59b7f72ccf5ca3e1c6cd72798deadf06,31.0,49,LOW,0.0,1
56,a0a2b7ca60d02049e581208a15da7288,29.0,39,HIGH,3592.925,3
57,4880cd20e0ba7705aaf5a3bbcd74f07a,,46,LOW,121.5,1
58,c113fa6ce63e984c9936d46d251ad16b,,186,TOP,11834.56,5
59,7bd06cd94035d50e9538b708b2c68126,,44,HIGH,3113.98,3
60,a924e7378c2e8ebab55ab0d17356757a,22.0,39,VERY HIGH,6686.18,4
61,bce1fc6f45981ee5ec858ed2ed259d3b,,48,VERY HIGH,8611.2,4
62,72c9645a6dbb4565a48d421493e6a4e8,38.0,44,MEDIUM,1497.08,2
63,72c9645a6dbb4565a48d421493e6a4e8,38.0,44,MEDIUM,1497.08,2
64,fb717f01a1442f96ff88831d28f73aa4,45.0,186,HIGH,2745.13,3
65,e0749a68fe06b1b80468f0b5a5d462c7,38.0,39,HIGH,3732.99,3
66,e7770205473f590b085380fdcef12fe3,,39,LOW,330.38,1
67,04062449e74dc0b8dc4e7c92b981c6dc,70.0,39,TOP,14059.677381,5
68,6fd7d4d436c7a57b46fa2cd813492330,,39,HIGH,1669.905,3
69,648db9ee455ad18ea0ede495e09b5dc1,33.0,46,HIGH,3130.72,3
70,ca1d44b4da6e35d34af5aa86193a4a45,,46,MEDIUM,1321.159504,2
71,e236033e812673a3b9c625e9ec9f75c3,37.0,46,MEDIUM,1282.345,2
72,0c20bbcc7dc1c40a15cfb37ce0dffffc,,46,HIGH,2903.435,3
73,3882f6ceea1b5488852259e595475bf0,40.0,46,TOP,16718.405,5
74,51736056edb0888c0e270458cf1c13ac,37.0,49,VERY HIGH,8598.05,4
75,47101cc1503919bbb00771483f8dcbec,46.0,46,MEDIUM,1532.455,2
76,3190326a7089a214c119f91c6e3e593a,,41,LOW,0.0,1
77,9e9086becbe326862349466f5d9c62e5,26.0,46,HIGH,4466.330715,3
78,0617f61adaf6699e7183701e88627408,21.0,44,LOW,216.64,1
79,0fa0733238dad4d36ed9a79a300ad140,29.0,44,MEDIUM,991.44,2
80,da89c1e87153c6ade10b0ac9780fd5f7,41.0,39,MEDIUM,1300.0,2
81,e67944babe76a560c49438eb4f33c45d,43.0,46,TOP,11737.49,5
82,772a868a726bcddbc33c4d4dc775e44e,,49,TOP,16740.593999999997,5
83,a224d44009bca8c77883276079502220,,39,HIGH,2124.925,3
84,657d9214ac7b0054caa2f69abb1c85a4,39.0,46,MEDIUM,1042.47,2
85,0e7c4ff8d58165ba9195fe676a836f3c,27.0,30,MEDIUM,784.08,2
86,934fd6f6c3d8805dafc4dfc2e57a90db,41.0,39,HIGH,2696.78,3
87,ff63fb5c5a054b9108070c920f32fabe,43.0,39,VERY HIGH,4764.945,4
88,9921e535883ebab4bf0db6d5d475a0fd,23.0,46,LOW,0.0,1
89,c7193c2c0ca5d90f34b83b9c6cc6d441,22.0,44,MEDIUM,1413.32,2
90,0d2864f251033e241dc9c2c6a400b5f3,,46,LOW,193.94,1
91,ad56356d2d53780fae9757aa86254189,,49,VERY HIGH,5379.4665,4
92,c865c5ca035c8b0e5f054c02cff9cc86,39.0,39,HIGH,4102.27,3
93,57467874c69fb95a4a786efdf5e254bc,,39,VERY HIGH,7400.37,4
94,f349023468246aff4d84b049cdb67db3,,44,MEDIUM,1225.89,2
95,a98a0e65853d0d3283c3b3f3b4c87936,,44,VERY HIGH,4773.51,4
96,deee21e20e35a658f472a55c179b2efd,28.0,44,TOP,12593.485,5
97,5b193050794115801622f16c6a75784e,,46,MEDIUM,428.925,2
98,fd2e25cb552e647c0da6bcf75bde98ae,,46,MEDIUM,1538.205,2
99,43fda00bd4dbb435ec99f4fe54350fc7,30.0,39,LOW,0.0,1
100,c67544703df2e3881cf8c20d3c1d5c82,,49,MEDIUM,451.0,2
101,e02fc238d9fdac21a30cb50e627bfa42,52.0,46,VERY HIGH,8743.865,4
